key,message,Final Category
1,I have not received my gifts which I ordered ok,voucher
2,hth her wells idyll McGill kooky bbc.co,noclass
3,test test test 1 test,noclass
4,test,noclass
5,hello where is my reward points,other
6,"hi, can you get koovs coupons or vouchers here on bounty thanks a lot",more reward options
7,Hi Hey when you people will include amazon and flipkart Am not asking about vouchers,more reward options
8,hi can i get update i got a gift coupon for Amazon in last month which is going to expire on 28 jul but Gift coupon is still not active its already one month n i am unable to use the code,voucher not working
9,"u r there still more than snap bill points are pending,kindly add the points",snapbill
10,plz keep Amazon& Flipkart offer s it is very helpful there is no Flipkart& Amazon offers,more reward options
11,Sir My Order Status. . Sir last month 11th Request Date,voucher
12,"hi I wanna chat with bounty support ya, sure",other
13,hi i have reverted 300 point to domino's gift voucher but when i am trying to redeem on dominos website to order pizza its saying not a valid i have reedom that point for dominos,voucher not working
14,hello,greeting
15,hi for a past couple of weeks I am not getting auto chat notification. . every time it isn't possible to take and share a snap auto checkin notification,checkin
16,why you guys removed Amazon flipkart pvr mobile recharge bookmyshow wfy can't you under,more reward options
17,hi hi hi,greeting
18,hi hlo Ok actually I ordered one head phones from ur app but yesterday I got one notifications my address is wrong so ordered is cancelled bt till now I didn't get directed points,other
19,hi why ebay vou hers not availabke same with flipkart,more reward options
20,i want all 400 points in my accounr so that i can shop simething else,other
21,Hi bounty team My previous order status i have redemed points toeards socks order I didnt get any notification further connect support team I didnt get any notification on my redeemed points,voucher
22,"can you give me update on my previous redeemed points ? can you give me update on my previous redeemed points ? Sure Its been a month and I didn't have any updates or notifications regarding this Its been a month and I didn't have any updates or notifications regarding this okay Praveen okay Praveen Yes Praveen. When can I expect this product to be delivered ? Yes. This is my address Yes. This is my address Narendra Nelluri, Unit 706, Aditya Trade Center, Landmark : Passport Seva Kendra,Satyam Theater road,Mithrivanam, Ameerpet , Hyderabad,PIN 500038, TS Narendra Nelluri, Unit 706, Aditya Trade Center, Landmark : Passport Seva Kendra,Satyam Theater road,Mithrivanam, Ameerpet , Hyderabad,PIN 500038, TS Yes I have missed it there. sorry for that",voucher
23,No more. Thank you Praveen,thanks
24,"hi. hi. hi. A1, Opposite to ITPL Gate no.2 A1, Opposite to ITPL Gate no.2 A1, Opposite to ITPL Gate no.2",other
25,#Flipkart No,voucher
26,i want customer care no i want to talk with ur team,other
27,hi I 9986443603cjhh had qkuiv1uhqllljqvocally q illgi vq,noclass
28,please send my Mguru headset to,other
29,"# Vignesh p, New arun luxury PG, no 7, sri sai byreshwara nivas, kanthamma narayanaswamy layout, behind cisco parking gate, panathur, bangalore-560103, mob- 8553043027 # Vignesh p, New arun luxury PG, no 7, sri sai byreshwara nivas, kanthamma narayanaswamy layout, behind cisco parking gate, panathur, bangalore-560103, mob- 8553043027",other
30,"#Kishan Fashions #Kumaresan P , Kishan Fashions ,1891/A2 N",other
31,hi,greeting
32,hi may i redeemed 100 points for amazon or flipkart voucher,more reward options
33,hi sometime I'm not automatically checked in what may be the reason?,checkin
34,hi I haven't received boucher from print venue thank you thanks hi I have submitted two request for print venue bouchers but got only one yes I got one boucher of 100,voucher
35,hi but it has already 7 day ti redeem request,voucher
36,hi i want to change the number of my account,other
37,hai points not comming,checkin
38,hai not yet received eceived any not yet received any points from last Friday onwards good evening yes but not received from last Friday onwards,checkin
39,the two amazon vouchers which I have got has already been redeemed. what a group of cheating losers you guys are.,voucher not working
40,hi,greeting
41,hi sorry to tell nobody got online regarding my reddim points which i redeem for 3oair off socks  some theee weeks ago,voucher
42,hi my adress i have redeem mypoints for socks,other
